"panel_code","panel_name","panelist_name","affiliation","chair","panel_category","year"
"106","Hutnictví a materiálové inženýrství","Doc. RNDr. František Hnilica"," ÚJP Praha a.s.","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Doc. Dr. RNDr. Miroslav Holeček"," Západočeská univerzita v Plzni - Fakulta aplikovaných věd","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Doc. RNDr. František Chmelík"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Prof. Ing. Jiří Kliber"," Vysoká škola báňská - Technická univerzita Ostrava - Fakulta metalurgie a materiálového inženýrství","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Prof. Dr. Ing. Bohuslav Mašek"," Západočeská univerzita v Plzni - Fakulta strojní","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Doc.Ing. Karel Matocha"," Materiálový a metalurgický výzkum","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Prof. Ing. Iva Nová"," Technická univerzita v Liberci - Fakulta strojní","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Prof. Ing. Františka Pešlová"," České vysoké učení technické v Praze - Fakulta strojní","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Prof. RNDr. Jaroslav Pokluda"," Vysoké učení technické v Brně - Fakulta strojního inženýrství","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Prof. RNDr. Jaroslav Polák"," Ústav fyziky materiálů AV ČR","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Prof.Ing. Miroslav Příhoda"," Vysoká škola báňská - Technická univerzita Ostrava - Fakulta metalurgie a materiálového inženýrství","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Doc.Ing. Jan Siegl"," České vysoké učení technické v Praze - Fakulta jaderná a fyzikálně inženýrská","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Prof. RNDr. Petr Špatenka"," Technická univerzita v Liberci - Fakulta strojní","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Prof. Ing. Václav Švorčík"," Vysoká škola chemicko-technologická v Praze - Fakulta chemické technologie","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Prof. RNDr. Jan Vřešťál"," Masarykova univerzita - Přírodovědecká fakulta","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Ing. Zuzana Weishauptová"," Ústav struktury a mechaniky hornin AV ČR","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"201","Matematika a informatika","Doc. RNDr. Miroslav Brzezina"," Technická univerzita v Liberci","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Prof. RNDr. Ondřej Došlý"," Masarykova univerzita - Přírodovědecká fakulta","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Doc. RNDr. Martin Janžura"," Ústav teorie informace a automatizace AV ČR","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Prof. RNDr. Jana Jurečková"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Prof. RNDr. Karel Kozel"," České vysoké učení technické v Praze - Fakulta strojní","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Prof. RNDr. Antonín Kučera"," Masarykova univerzita - Fakulta informatiky","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Prof. RNDr. Radan Kučera"," Masarykova univerzita - Přírodovědecká fakulta","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Prof. RNDr. Alois Kufner"," Matematický ústav AV ČR","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Doc. RNDr. Václav Matyáš"," Masarykova univerzita - Fakulta informatiky","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Doc. RNDr. Luboš Pick"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Doc. RNDr. Jiří Sgall"," Matematický ústav AV ČR","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Prof. RNDr. Jan Slovák"," Masarykova univerzita - Přírodovědecká fakulta","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Prof. RNDr. Vladimír Souček"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Doc. Ing. Petr Tůma"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Prof. RNDr. Peter Vojtáš"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
"201","Matematika a informatika","Prof. Ing. Jiří Voříšek"," Vysoká škola ekonomická v Praze - Fakulta informatiky a statistiky","Prof. RNDr. Peter Vojtáš, DrSc. - předseda","sub-branch","2008"
