"panel_name","panel_code","first_name","second_name","titles","affiliation","year","url"
"Hornictví",105,"Alexandr","Hykel","Ing.","Český báňský úřad",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hornictví",105,"Petr","Janas","Doc. Ing.","Vysoká škola báňská - Technická univerzita Ostrava - Fakulta stavební",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hornictví",105,"Petr","Konečný","Doc. Ing.","Ústav geoniky AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hornictví",105,"Marcela","Šafářová","Ing.","Výzkumný ústav pro hnědé uhlí",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hornictví",105,"Josef","Valeš","RNDr. Ing.","Výzkumný ústav pro hnědé uhlí",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hornictví",105,"Petr","Welser","Dr. Ing.","Ostravsko-karvinské doly",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Jiří","Burša","Doc. Ing.","Vysoké učení technické v Brně - Fakulta strojního inženýrství",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"František","Černý","Prof. Ing.","České vysoké učení technické v Praze - Fakulta strojní",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Jana","Dobrovská","Prof. Ing.","Vysoká škola báňská - Technická univerzita Ostrava - Fakulta metalurgie a materiálového inženýrství",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Jiří","Dubský","Ing.","Ústav fyziky plazmatu AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Vladimír","Hanykýř","Doc. Ing.","Vysoká škola chemicko-technologická v Praze - Fakulta chemické technologie",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"František","Hnilica","Doc. RNDr.","ÚJP Praha a.s.",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Miroslav","Holeček","Doc. Dr. RNDr.","Západočeská univerzita v Plzni - Fakulta aplikovaných věd",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"František","Chmelík","Doc. RNDr.","Univerzita Karlova v Praze - Matematicko-fyzikální fakulta",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Jiří","Kliber","Prof. Ing.","Vysoká škola báňská - Technická univerzita Ostrava - Fakulta metalurgie a materiálového inženýrství",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Bohuslav","Mašek","Prof. Dr. Ing.","Západočeská univerzita v Plzni - Fakulta strojní",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Karel","Matocha","Doc. Ing.","Materiálový a metalurgický výzkum",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Iva","Nová","Prof. Ing.","Technická univerzita v Liberci - Fakulta strojní",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Františka","Pešlová","Prof. Ing.","České vysoké učení technické v Praze - Fakulta strojní",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Jaroslav","Pokluda","Prof. RNDr.","Vysoké učení technické v Brně - Fakulta strojního inženýrství",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Jaroslav","Polák","Prof. RNDr.","Ústav fyziky materiálů AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Miroslav","Příhoda","Prof. Ing.","Vysoká škola báňská - Technická univerzita Ostrava - Fakulta metalurgie a materiálového inženýrství",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Jan","Siegl","Doc. Ing.","České vysoké učení technické v Praze - Fakulta jaderná a fyzikálně inženýrská",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Petr","Špatenka","Prof. RNDr.","Technická univerzita v Liberci - Fakulta strojní",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Václav","Švorčík","Prof. Ing.","Vysoká škola chemicko-technologická v Praze - Fakulta chemické technologie",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Jan","Vřešťál","Prof. RNDr.","Masarykova univerzita - Přírodovědecká fakulta",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hutnictví a materiálové inženýrství",106,"Zuzana","Weishauptová","Ing.","Ústav struktury a mechaniky hornin AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Miroslav","Brzezina","Doc. RNDr.","Technická univerzita v Liberci",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Ondřej","Došlý","Prof. RNDr.","Masarykova univerzita - Přírodovědecká fakulta",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Martin","Janžura","Doc. RNDr.","Ústav teorie informace a automatizace AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Jana","Jurečková","Prof. RNDr.","Univerzita Karlova v Praze - Matematicko-fyzikální fakulta",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Karel","Kozel","Prof. RNDr.","České vysoké učení technické v Praze - Fakulta strojní",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Antonín","Kučera","Prof. RNDr.","Masarykova univerzita - Fakulta informatiky",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Radan","Kučera","Prof. RNDr.","Masarykova univerzita - Přírodovědecká fakulta",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Alois","Kufner","Prof. RNDr.","Matematický ústav AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Václav","Matyáš","Doc. RNDr.","Masarykova univerzita - Fakulta informatiky",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
